Tipo di attività,Data,Preferita,Titolo,Distanza,Calorie,Tempo,FC Media,FC max,TE attività aerobica,Cadenza di corsa media,Cadenza di corsa max,Passo medio,Passo migliore,Ascesa totale,Discesa totale,Lunghezza media passo,Rapporto verticale medio,Oscillazione verticale media,Tempo medio di contatto con il suolo,Training Stress Score®,Potenza media,Potenza max,Grit,Flow,Swolf medio,Frequenza media vogate,Ripetizioni totali,Tempo di immersione,Temperatura min,Intervallo di superficie,Decompressione,Tempo Lap migliore,Numero di Lap,Temperatura max,Frequenza respiratoria media,Frequenza respiratoria minima,Frequenza respiratoria massima,Variazione stress,Stress iniziale,Stress finale,Stress medio,Stress max,Tempo in movimento,Tempo trascorso,Quota minima,Quota massima
Corsa,2023-07-03 13:01:52,false,"Olgiate Olona Corsa","4,04","303","00:26:30","158","172","3,2","170","189","6:34","5:01","18","20","0,90","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:16.89","5","0,0","","","","","","","","","00:26:29","00:26:30","221","233"
Corsa,2023-07-01 18:13:04,false,"Olgiate Olona Corsa","5,33","399","00:38:33","145","156","3,0","165","173","7:14","5:51","24","22","0,84","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","02:25.36","6","0,0","","","","","","","","","00:38:32","00:39:27","221","238"
Corsa,2023-06-28 12:40:08,false,"Olgiate Olona Corsa","6,20","469","00:41:35","156","170","3,5","169","177","6:43","6:02","38","39","0,88","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","01:23.60","7","0,0","","","","","","","","","00:41:29","00:42:12","221","233"
Corsa,2023-06-26 07:31:31,false,"Olgiate Olona Corsa","3,54","258","00:23:27","145","159","3,0","169","181","6:37","5:50","12","10","0,89","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","03:23.99","4","0,0","","","","","","","","","00:23:27","00:23:27","221","233"
Camminata,2023-06-24 11:34:19,false,"Camogli Camminata","1,25","80","00:14:00","113","133","0,5","118","236","11:13","7:44","27","110","0,79","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","03:22.24","2","0,0","","","","","","","","","00:13:26","00:14:00","-1","102"
Corsa,2023-06-22 17:33:08,false,"Olgiate Olona Corsa","5,06","372","00:32:14","155","170","3,4","174","183","6:23","5:33","14","14","0,90","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:23.70","6","0,0","","","","","","","","","00:32:13","00:32:14","221","233"
Corsa,2023-06-21 12:38:18,false,"Olgiate Olona Corsa","6,07","454","00:41:42","151","167","3,3","173","183","6:52","6:08","10","9","0,84","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:29.09","7","0,0","","","","","","","","","00:41:40","00:41:50","221","238"
Corsa,2023-06-19 06:49:15,false,"Olgiate Olona Corsa","4,03","287","00:30:26","134","151","2,5","153","177","7:33","6:08","14","14","0,87","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:19.15","5","0,0","","","","","","","","","00:30:21","00:30:26","221","233"
Corsa,2023-06-17 09:28:04,false,"Faenza Corsa","5,31","407","00:37:05","150","161","3,1","163","171","6:59","5:48","11","11","0,88","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","02:10.63","6","0,0","","","","","","","","","00:36:58","00:37:30","29","41"
Corsa,2023-06-15 12:54:59,false,"Olgiate Olona Corsa","4,83","357","00:35:46","149","165","2,7","163","173","7:25","6:27","26","26","0,83","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","06:31.14","5","0,0","","","","","","","","","00:35:40","00:36:37","221","236"
Corsa,2023-06-12 18:03:30,false,"Olgiate Olona - 15' risc + 8x60'' (@175-185 bpm)","5,67","411","00:35:04","157","178","3,6","171","191","6:11","4:08","37","35","0,94","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:45.00","20","0,0","","","","","","","","","00:35:03","00:35:04","221","233"
Corsa,2023-06-11 10:23:01,false,"Olgiate Olona Corsa","7,05","525","00:47:32","149","164","3,4","166","173","6:45","6:15","37","38","0,89","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:20.77","8","0,0","","","","","","","","","00:47:28","00:47:32","221","238"
Corsa,2023-06-09 08:15:56,false,"Olgiate Olona Corsa","5,10","384","00:34:48","150","165","3,1","163","172","6:50","5:34","30","29","0,90","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:43.81","6","0,0","","","","","","","","","00:34:44","00:35:31","221","236"
Corsa,2023-06-07 13:03:57,false,"Olgiate Olona - Gara 5k","5,17","377","00:29:18","171","181","3,9","175","189","5:40","4:06","19","26","1,01","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:53.47","6","0,0","","","","","","","","","00:29:11","00:29:18","221","232"
Corsa,2023-06-07 12:54:02,false,"Riscaldamento","1,06","75","00:07:54,7","136","152","1,3","160","170","7:29","4:59","","3","0,84","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:24.58","2","0,0","","","","","","","","","00:07:54,6","00:07:54,7","227","233"
Corsa,2023-06-05 12:50:05,false,"15' risc + 8x60'' (@175-185 bpm)","6,16","444","00:39:11","153","175","3,6","165","189","6:22","4:13","25","26","0,95","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:10.93","22","0,0","","","","","","","","","00:39:10","00:40:15","221","233"
Corsa,2023-06-02 13:40:07,false,"Olgiate Olona - 10 km @ 6:40","10,00","765","01:06:08","162","177","4,0","168","181","6:37","5:51","46","47","0,90","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:48.00","11","0,0","","","","","","","","","01:06:08","01:06:08","221","234"
Corsa,2023-05-31 12:47:43,false,"Olgiate Olona - Corsa in progressione","6,16","450","00:41:24","153","181","3,5","170","193","6:44","4:42","18","22","0,87","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","01:23.83","8","0,0","","","","","","","","","00:41:22","00:41:24","221","233"
Corsa,2023-05-29 12:38:42,false,"Olgiate Olona - Corsa in progressione","6,21","459","00:40:28","152","177","3,7","168","189","6:31","4:35","26","30","0,91","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:28.45","8","0,0","","","","","","","","","00:40:22","00:40:28","221","233"
Corsa,2023-05-26 18:25:35,false,"Olgiate Olona Corsa","5,03","386","00:32:27","162","176","3,5","170","179","6:27","6:06","4","3","0,91","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:16.39","6","0,0","","","","","","","","","00:32:26","00:32:27","221","234"
Corsa,2023-05-24 12:34:52,false,"Olgiate Olona - 15' risc + 8x60'' (@175-185 bpm)","5,12","392","00:33:04","160","179","3,7","171","189","6:28","4:58","26","28","0,90","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:45.00","20","0,0","","","","","","","","","00:33:01","00:33:04","221","233"
Corsa,2023-05-22 18:16:21,false,"Olgiate Olona - Corsa in progressione","6,90","519","00:45:06","158","176","3,9","172","185","6:32","5:35","8","11","0,89","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:05.88","9","0,0","","","","","","","","","00:45:05","00:45:06","221","233"
Corsa,2023-05-20 10:01:25,false,"Olgiate Olona Corsa","7,02","515","00:51:24","147","155","3,1","165","175","7:19","6:21","23","22","0,83","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:08.19","8","0,0","","","","","","","","","00:51:19","00:52:06","221","239"
Corsa,2023-05-17 12:52:37,false,"15' risc + 8x60'' (@175-185 bpm) 45’’ def + 10’ def","5,60","423","00:39:07","155","173","3,4","166","192","6:59","5:01","2","6","0,86","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:07.22","21","0,0","","","","","","","","","00:39:06","00:39:07","221","233"
Corsa,2023-05-15 12:37:30,false,"Olgiate Olona Corsa","6,10","460","00:43:38","152","164","3,2","162","171","7:09","6:23","8","7","0,86","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:47.25","7","0,0","","","","","","","","","00:43:37","00:43:38","221","239"
Corsa,2023-05-14 07:32:51,false,"Olgiate Olona Corsa","7,36","549","00:48:02","151","162","3,7","170","181","6:31","6:03","35","36","0,90","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","02:37.75","8","0,0","","","","","","","","","00:48:00","00:48:02","221","232"
Corsa,2023-05-12 07:24:31,false,"Olgiate Olona Corsa","5,09","384","00:34:44","150","160","3,3","168","175","6:50","6:11","23","24","0,87","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:39.63","6","0,0","","","","","","","","","00:34:42","00:34:44","221","233"
Corsa,2023-05-10 12:39:08,false,"Olgiate Olona Corsa","7,12","524","00:55:22","149","168","3,0","150","161","7:46","6:54","6","6","0,86","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:58.09","8","0,0","","","","","","","","","00:55:20","00:55:22","221","239"
Corsa,2023-05-08 12:59:00,false,"Olgiate Olona Corsa","5,09","382","00:33:36","156","177","3,4","155","181","6:36","5:01","29","29","1,00","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:05.49","8","0,0","","","","","","","","","00:33:22","00:33:36","221","235"
Corsa,2023-05-06 10:41:19,false,"Olgiate Olona - Gara di 10 chilometri","10,00","759","01:09:48","158","177","3,7","158","172","6:59","6:08","66","67","0,91","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","06:42.22","10","0,0","","","","","","","","","01:09:47","01:09:48","221","238"
Corsa,2023-05-03 12:42:44,false,"Olgiate Olona - Corsa facile","4,23","317","00:30:00","147","157","3,0","157","171","7:06","5:27","2","2","0,90","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","02:56.17","6","0,0","","","","","","","","","00:30:00","00:30:00","229","234"
Corsa,2023-05-01 17:44:57,false,"Olgiate Olona - Ripetute di passo falcato","4,24","327","00:30:32","146","166","3,2","153","187","7:12","4:35","6","7","0,90","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:20.00","21","0,0","","","","","","","","","00:29:58","00:30:32","221","233"
Ciclismo,2023-04-29 17:29:32,false,"Olgiate Olona Ciclismo","28,11","624","01:21:19","133","164","3,0","","","20,7","61,5","208","208","0,00","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","07:13.24","6","0,0","","","","","","","","","01:17:54","01:34:27","227","319"
Corsa,2023-04-28 16:48:34,false,"Olgiate Olona - Ripetute di passo falcato","6,16","462","00:43:26","148","164","3,5","154","193","7:03","4:19","47","48","0,92","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:16.82","34","0,0","","","","","","","","","00:43:25","00:43:26","221","233"
Corsa,2023-04-26 12:37:33,false,"Olgiate Olona - Corsa in progressione","5,59","412","00:40:00","149","170","3,3","154","170","7:10","5:51","34","37","0,91","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","03:54.97","7","0,0","","","","","","","","","00:39:59","00:40:00","221","233"
Camminata,2023-04-25 14:38:54,false,"Margno Camminata","1,68","122","00:30:42","91","106","0,3","87","126","18:14","5:06","14","131","0,63","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","12:15.36","2","0,0","","","","","","","","","00:27:39","00:30:42","1.359","1.487"
Camminata,2023-04-25 11:30:57,false,"Casargo Camminata","1,48","158","00:29:54","97","116","0,7","91","159","20:09","9:42","126","1","0,54","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","11:08.10","2","0,0","","","","","","","","","00:23:46","00:29:54","1.360","1.487"
Corsa,2023-04-24 16:54:25,false,"Casargo - Corsa facile","7,75","600","01:02:58","147","162","3,1","146","244","8:07","7:05","91","79","0,84","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","02:10.62","10","0,0","","","","","","","","","01:02:54","01:02:58","756","784"
Camminata,2023-04-24 10:51:17,false,"Casargo Camminata","0,75","75","00:18:43","92","112","0,3","6","156","24:48","10:20","30","8","7,09","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","18:43.40","1","0,0","","","","","","","","","00:03:45","00:18:43","773","800"
Corsa,2023-04-21 12:39:13,false,"Olgiate Olona Corsa","4,81","364","00:37:50","144","159","2,8","147","161","7:52","6:19","45","45","0,87","0,0","0,0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","06:36.63","5","0,0","","","","","","","","","00:37:08","00:37:50","221","233"
